,level_0,station,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,week,dayofweek
584,584,1,2010-06-02,77,57,67,3,61,64,0,2,419,1920,TSRA RA BR,1.02,29.0,29.71,3.6,34,8.7,2010,6,22,2
585,585,1,2010-06-03,71,56,64,0,46,55,1,0,418,1921, ,0.00,29.1,29.81,6.7,4,7.8,2010,6,22,3
586,586,1,2010-06-04,83,57,70,6,60,65,0,5,418,1922, ,0.00,29.0,29.73,7.8,22,9.8,2010,6,22,4
587,587,1,2010-06-05,79,60,70,5,65,67,0,5,417,1923,RA BR,0.15,28.95,29.66,5.0,23,7.8,2010,6,22,5
588,588,1,2010-06-06,76,55,66,0,55,59,0,1,417,1923,RA, 0.00,29.16,29.84,9.2,32,11.2,2010,6,22,6
589,589,1,2010-06-07,70,54,62,-4,49,55,3,0,417,1924, ,0.00,29.34,30.05,6.4,8,6.9,2010,6,23,0
590,590,1,2010-06-08,67,58,63,-3,57,59,2,0,417,1925,RA BR,0.45,29.22,29.97,8.8,13,10.1,2010,6,23,1
591,591,1,2010-06-09,83,65,74,8,56,63,0,9,416,1925,BR,0.00,29.13,29.84,10.2,28,10.8,2010,6,23,2
592,592,1,2010-06-10,77,58,68,1,54,60,0,3,416,1926, ,0.00,29.26,29.96,4.8,7,6.7,2010,6,23,3
593,593,1,2010-06-11,89,64,77,10,67,71,0,12,416,1926,TS RA,0.02,29.18,29.89,8.8,19,10.5,2010,6,23,4
594,594,1,2010-06-12,77,62,70,2,63,65,0,5,416,1927,TSRA RA BR,0.34,29.25,29.96,3.9,4,8.1,2010,6,23,5
595,595,1,2010-06-13,71,62,67,-1,62,64,0,2,416,1927,RA BR,0.25,29.26,29.98,3.5,9,5.0,2010,6,23,6
596,596,1,2010-06-14,70,60,65,-3,61,62,0,0,416,1928,RA BR, 0.00,29.23,29.94,6.2,4,6.6,2010,6,24,0
597,597,1,2010-06-15,79,60,70,2,66,67,0,5,416,1928,RA BR,0.59,29.16,29.89,2.2,19,5.5,2010,6,24,1
598,598,1,2010-06-16,82,63,73,4,61,65,0,8,416,1929, ,0.00,29.28,29.98,5.9,28,9.0,2010,6,24,2
599,599,1,2010-06-17,84,64,74,5,62,67,0,9,416,1929, ,0.00,29.3,30.01,5.8,14,7.5,2010,6,24,3
600,600,1,2010-06-18,90,67,79,9,66,69,0,14,416,1929,TSRA BR,0.87,29.18,29.92,6.8,21,10.4,2010,6,24,4
601,601,1,2010-06-19,85,66,76,6,61,66,0,11,416,1930, ,0.00,29.24,29.94,9.8,28,10.6,2010,6,24,5
602,602,1,2010-06-20,81,64,73,3,61,65,0,8,416,1930, , 0.00,29.34,30.04,3.8,8,4.7,2010,6,24,6
603,603,1,2010-06-21,85,67,76,6,66,69,0,11,416,1930,TSRA BR,0.22,29.26,29.97,5.6,16,8.4,2010,6,25,0
604,604,1,2010-06-22,85,69,77,7,68,71,0,12,417,1931, ,0.00,29.28,29.98,5.9,23,6.9,2010,6,25,1
605,605,1,2010-06-23,87,69,78,8,70,71,0,13,417,1931,TS TSRA RA BR,0.87,29.16,29.89,10.2,22,11.5,2010,6,25,2
606,606,1,2010-06-24,84,65,75,4,60,65,0,10,417,1931, ,0.00,29.33,30.03,5.4,32,8.7,2010,6,25,3
607,607,1,2010-06-25,84,62,73,2,62,67,0,8,417,1931, ,0.00,29.28,30.0,6.4,20,7.3,2010,6,25,4
608,608,1,2010-06-26,87,69,78,7,66,70,0,13,418,1931,TS TSRA,0.85,29.1,29.83,1.0,11,6.7,2010,6,25,5
609,609,1,2010-06-27,85,72,79,8,70,73,0,14,418,1931, ,0.54,28.9,29.62,7.4,24,9.1,2010,6,25,6
610,610,1,2010-06-28,82,63,73,2,59,65,0,8,419,1931, ,0.00,29.08,29.76,9.4,31,11.3,2010,6,26,0
611,611,1,2010-06-29,75,59,67,-4,53,59,0,2,419,1931, ,0.00,29.41,30.09,6.2,4,7.5,2010,6,26,1
612,612,1,2010-06-30,75,56,66,-6,50,57,0,1,419,1931, ,0.00,29.54,30.25,3.7,4,6.0,2010,6,26,2
613,613,1,2010-07-01,77,55,66,-6,48,57,0,1,420,1931, ,0.00,29.59,30.33,5.0,9,5.5,2010,7,26,3
614,614,1,2010-07-02,83,59,71,-1,53,61,0,6,420,1931, ,0.00,29.47,30.2,7.9,19,8.1,2010,7,26,4
615,615,1,2010-07-03,87,60,74,2,56,63,0,9,421,1931, ,0.00,29.31,30.04,8.5,20,9.0,2010,7,26,5
616,616,1,2010-07-04,91,68,80,8,66,71,0,15,422,1930, ,0.00,29.2,29.91,10.2,22,10.5,2010,7,26,6
617,617,1,2010-07-05,91,78,85,13,64,71,0,20,422,1930, ,0.00,29.2,29.9,15.0,20,15.3,2010,7,27,0
618,618,1,2010-07-06,90,73,82,10,69,73,0,17,423,1930,TSRA RA,0.37,29.26,29.96,8.4,22,9.0,2010,7,27,1
619,619,1,2010-07-07,93,71,82,10,70,73,0,17,423,1930,BR,0.20,29.34,30.03,3.5,23,6.3,2010,7,27,2
620,620,1,2010-07-08,88,73,81,8,70,73,0,16,424,1929,TSRA RA BR,0.16,29.27,29.99,2.7,32,5.4,2010,7,27,3
621,621,1,2010-07-09,88,70,79,6,59,67,0,14,425,1929, , 0.00,29.26,29.98,6.3,36,7.5,2010,7,27,4
622,622,1,2010-07-10,89,69,79,6,61,68,0,14,425,1929, ,0.00,29.23,29.95,6.3,28,8.0,2010,7,27,5
623,623,1,2010-07-11,85,66,76,3,63,67,0,11,426,1928,TSRA RA BR,0.79,29.08,29.81,5.6,23,7.8,2010,7,27,6
624,624,1,2010-07-12,84,65,75,2,65,68,0,10,427,1928,BR, 0.00,29.05,29.76,1.7,35,3.9,2010,7,28,0
625,625,1,2010-07-13,84,70,77,4,65,69,0,12,428,1927, ,0.17,29.18,29.87,5.4,10,6.1,2010,7,28,1
626,626,1,2010-07-14,90,70,80,7,71,74,0,15,428,1927,BR,0.00,29.25,29.96,9.2,17,10.1,2010,7,28,2
627,627,1,2010-07-15,90,71,81,7,69,73,0,16,429,1926, ,0.01,29.21,29.91,7.0,27,10.1,2010,7,28,3
628,628,1,2010-07-16,90,67,79,5,62,68,0,14,430,1925, ,0.00,29.23,29.95,7.4,25,8.1,2010,7,28,4
629,629,1,2010-07-17,93,71,82,8,63,70,0,17,431,1925, ,0.00,29.18,29.89,5.6,28,6.9,2010,7,28,5
630,630,1,2010-07-18,92,72,82,8,69,73,0,17,432,1924, ,0.01,29.1,29.82,7.0,25,9.7,2010,7,28,6
631,631,1,2010-07-19,84,69,77,3,66,70,0,12,433,1923,RA,0.01,29.18,29.89,2.3,24,4.9,2010,7,29,0
632,632,1,2010-07-20,86,68,77,3,68,70,0,12,433,1923, , 0.00,29.21,29.92,5.4,23,7.2,2010,7,29,1
633,633,1,2010-07-21,91,72,82,8,65,70,0,17,434,1922, ,0.00,29.29,30.0,4.7,31,6.8,2010,7,29,2
634,634,1,2010-07-22,90,69,80,6,71,74,0,15,435,1921, ,0.01,29.16,29.89,10.8,20,11.9,2010,7,29,3
635,635,1,2010-07-23,94,70,82,8,71,74,0,17,436,1920,TS TSRA RA BR,2.79,29.15,29.85,11.2,24,11.8,2010,7,29,4
636,636,1,2010-07-24,87,69,78,4,71,73,0,13,437,1919,TSRA RA BR,3.64,29.16,29.86,2.6,28,8.9,2010,7,29,5
637,637,1,2010-07-25,81,66,74,0,59,65,0,9,438,1918, ,0.00,29.36,30.06,8.7,2,9.2,2010,7,29,6
638,638,1,2010-07-26,84,61,73,-1,62,67,0,8,439,1918, ,0.00,29.38,30.09,4.5,12,5.2,2010,7,30,0
639,639,1,2010-07-27,88,68,78,4,67,71,0,13,440,1917, ,0.00,29.28,30.01,5.6,21,6.4,2010,7,30,1
640,640,1,2010-07-28,88,73,81,7,71,74,0,16,441,1916,BR,0.00,29.24,29.94,6.8,28,9.3,2010,7,30,2
641,641,1,2010-07-29,82,67,75,1,58,65,0,10,442,1915, ,0.00,29.36,30.07,6.0,5,7.0,2010,7,30,3
642,642,1,2010-07-30,80,69,75,1,60,65,0,10,443,1914,RA, 0.00,29.25,29.98,5.5,17,6.1,2010,7,30,4
643,643,1,2010-07-31,80,65,73,-1,64,67,0,8,444,1913,TS TSRA RA BR,0.68,29.14,29.86,3.6,13,5.8,2010,7,30,5
644,644,1,2010-08-01,86,65,76,3,65,68,0,11,445,1911,BR HZ,0.00,29.23,29.94,2.4,13,4.1,2010,8,30,6
645,645,1,2010-08-02,84,67,76,3,67,70,0,11,446,1910,RA BR, 0.00,29.26,29.96,6.3,21,6.8,2010,8,31,0
646,646,1,2010-08-03,86,66,76,3,71,73,0,11,447,1909,TSRA RA BR,0.28,29.2,29.91,2.6,21,3.3,2010,8,31,1
647,647,1,2010-08-04,83,71,77,4,72,73,0,12,448,1908,TSRA RA BR,0.48,29.15,29.85,4.1,27,4.9,2010,8,31,2
648,648,1,2010-08-05,83,68,76,3,62,67,0,11,449,1907, ,0.00,29.13,29.84,10.6,29,10.9,2010,8,31,3
649,649,1,2010-08-06,82,64,73,0,59,64,0,8,450,1906, ,0.00,29.22,29.93,6.3,29,6.5,2010,8,31,4
650,650,1,2010-08-07,83,62,73,0,64,68,0,8,451,1904, ,0.00,29.2,29.92,7.6,23,8.0,2010,8,31,5
651,651,1,2010-08-08,87,69,78,5,67,70,0,13,452,1903,RA BR,0.08,29.13,29.86,9.3,22,9.9,2010,8,31,6
652,652,1,2010-08-09,88,72,80,7,71,74,0,15,453,1902,TS,0.15,29.2,29.9,4.1,24,7.1,2010,8,32,0
653,653,1,2010-08-10,89,75,82,9,71,74,0,17,454,1900, ,0.00,29.23,29.93,4.4,7,4.9,2010,8,32,1
654,654,1,2010-08-11,90,75,83,10,70,74,0,18,455,1859,BR,0.00,29.13,29.84,4.2,28,6.0,2010,8,32,2
655,655,1,2010-08-12,92,74,83,10,70,74,0,18,456,1858, ,0.00,29.13,29.83,3.3,10,5.7,2010,8,32,3
656,656,1,2010-08-13,92,73,83,10,70,74,0,18,457,1856,TS BR,0.25,29.07,29.78,7.2,18,7.6,2010,8,32,4
657,657,1,2010-08-14,88,72,80,8,69,73,0,15,458,1855, , 0.00,29.11,29.82,3.6,25,5.0,2010,8,32,5
658,658,1,2010-08-15,83,66,75,3,62,67,0,10,459,1854, ,0.00,29.21,29.9,8.1,29,8.8,2010,8,32,6
659,659,1,2010-08-16,80,63,72,0,54,62,0,7,500,1852, ,0.00,29.31,30.01,8.6,28,9.3,2010,8,33,0
660,660,1,2010-08-17,79,64,72,0,57,63,0,7,501,1851,RA,0.03,29.36,30.07,4.5,30,6.1,2010,8,33,1
661,661,1,2010-08-18,84,63,74,2,61,66,0,9,502,1849,RA,0.05,29.29,30.02,1.5,20,3.5,2010,8,33,2
662,662,1,2010-08-19,88,66,77,6,65,69,0,12,503,1848, ,0.00,29.18,29.91,4.6,21,5.0,2010,8,33,3
663,663,1,2010-08-20,92,71,82,11,68,72,0,17,504,1846,RA,0.03,29.11,29.81,10.5,19,11.2,2010,8,33,4
664,664,1,2010-08-21,86,71,79,8,69,72,0,14,505,1845,RA BR,0.45,29.13,29.83,2.6,33,6.0,2010,8,33,5
665,665,1,2010-08-22,81,68,75,4,64,67,0,10,506,1843, ,0.00,29.35,30.05,7.9,3,8.5,2010,8,33,6
666,666,1,2010-08-23,80,65,73,2,63,67,0,8,508,1842, ,0.00,29.34,30.06,6.0,4,7.3,2010,8,34,0
667,667,1,2010-08-24,84,64,74,3,62,66,0,9,509,1840, , 0.00,29.29,30.02,1.2,4,5.8,2010,8,34,1
668,668,1,2010-08-25,79,61,70,0,51,59,0,5,510,1839, ,0.00,29.38,30.08,9.8,32,10.3,2010,8,34,2
669,669,1,2010-08-26,79,59,69,-1,52,59,0,4,511,1837, ,0.00,29.44,30.16,0.8,6,5.2,2010,8,34,3
670,670,1,2010-08-27,86,59,73,3,56,63,0,8,512,1835, ,0.00,29.39,30.11,8.6,21,9.0,2010,8,34,4
671,671,1,2010-08-28,88,65,77,7,54,63,0,12,513,1834, ,0.00,29.36,30.08,10.5,19,10.8,2010,8,34,5
672,672,1,2010-08-29,94,71,83,13,66,71,0,18,514,1832, ,0.00,29.39,30.1,10.6,19,11.4,2010,8,34,6
673,673,1,2010-08-30,88,74,81,11,67,72,0,16,515,1831, ,0.00,29.39,30.13,14.1,19,14.5,2010,8,35,0
674,674,1,2010-08-31,93,75,84,15,68,73,0,19,516,1829, ,0.00,29.28,30.01,14.7,20,15.0,2010,8,35,1
675,675,1,2010-09-01,81,71,76,8,68,70,0,11,517,1827,RA,0.17,29.21,29.91,6.2,23,7.3,2010,9,35,2
676,676,1,2010-09-02,83,65,74,6,68,70,0,9,518,1826,RA BR,1.55,29.09,29.81,5.6,21,6.9,2010,9,35,3
677,677,1,2010-09-03,70,56,63,-5,52,57,2,0,519,1824, , 0.00,29.11,29.82,15.3,28,15.7,2010,9,35,4
678,678,1,2010-09-04,68,51,60,-8,44,51,5,0,520,1822, , 0.00,29.25,29.96,11.3,29,11.9,2010,9,35,5
679,679,1,2010-09-05,76,49,63,-4,50,56,2,0,521,1821,RA, 0.00,29.21,29.95,7.9,20,9.0,2010,9,35,6
680,680,1,2010-09-06,82,66,74,7,52,61,0,9,522,1819, , 0.00,29.12,29.83,14.2,20,14.9,2010,9,36,0
681,681,1,2010-09-07,77,58,68,1,49,58,0,3,523,1817, ,0.00,29.21,29.9,17.4,25,18.8,2010,9,36,1
682,682,1,2010-09-08,71,51,61,-5,48,54,4,0,524,1815, ,0.00,29.39,30.09,3.9,32,6.5,2010,9,36,2
683,683,1,2010-09-09,67,50,59,-7,49,54,6,0,525,1814, ,0.00,29.36,30.09,5.7,3,6.5,2010,9,36,3
684,684,1,2010-09-10,72,55,64,-2,51,58,1,0,526,1812, ,0.00,29.24,29.98,8.3,9,9.4,2010,9,36,4
685,685,1,2010-09-11,75,58,67,2,55,59,0,2,527,1810,RA BR,0.24,29.15,29.87,1.9,24,9.4,2010,9,36,5
686,686,1,2010-09-12,83,54,69,4,51,59,0,4,528,1809, ,0.00,29.29,30.0,7.5,26,7.9,2010,9,36,6
687,687,1,2010-09-13,82,57,70,5,50,59,0,5,529,1807, ,0.00,29.29,30.01,4.9,31,6.1,2010,9,37,0
688,688,1,2010-09-14,77,54,66,2,49,57,0,1,530,1805, ,0.00,29.38,30.1,3.8,5,4.9,2010,9,37,1
689,689,1,2010-09-15,75,59,67,3,54,60,0,2,531,1803, , 0.00,29.25,30.01,7.6,12,9.1,2010,9,37,2
690,690,1,2010-09-16,69,53,61,-3,56,59,4,0,532,1800,RA,0.16,29.19,29.88,6.6,33,11.4,2010,9,37,3
691,691,1,2010-09-17,74,49,62,-2,50,56,3,0,533,1758, ,0.00,29.36,30.07,3.8,19,4.5,2010,9,37,4
692,692,1,2010-09-18,65,58,62,-2,55,58,3,0,535,1756,TSRA BR,0.35,29.42,30.13,3.9,3,6.5,2010,9,37,5
693,693,1,2010-09-19,67,55,61,-2,49,55,4,0,536,1755,RA, 0.00,29.46,30.18,7.1,4,7.9,2010,9,37,6
694,694,1,2010-09-20,75,62,69,7,60,63,0,4,537,1753, , 0.00,29.29,30.04,4.5,12,6.6,2010,9,38,0
695,695,1,2010-09-21,88,68,78,16,64,68,0,13,538,1751,TSRA RA,0.05,29.16,29.87,10.8,22,11.6,2010,9,38,1
696,696,1,2010-09-22,74,63,69,7,61,63,0,4,539,1749, ,0.00,29.31,30.02,2.8,6,6.0,2010,9,38,2
697,697,1,2010-09-23,89,65,77,16,62,68,0,12,540,1748, ,0.00,29.15,29.88,16.6,20,17.1,2010,9,38,3
698,698,1,2010-09-24,80,56,68,7,54,59,0,3,541,1746,RA BR,0.26,29.18,29.88,15.6,25,17.3,2010,9,38,4
699,699,1,2010-09-25,60,52,56,-5,43,49,9,0,542,1744, ,0.00,29.4,30.11,6.8,36,8.9,2010,9,38,5
700,700,1,2010-09-26,60,50,55,-5,45,49,10,0,543,1742,RA, 0.00,29.4,30.13,9.5,2,10.1,2010,9,38,6
701,701,1,2010-09-27,65,48,57,-3,45,50,8,0,544,1741, ,0.00,29.18,29.95,1.4,2,4.9,2010,9,39,0
702,702,1,2010-09-28,71,46,59,0,45,52,6,0,545,1739, ,0.00,29.07,29.8,2.5,2,3.7,2010,9,39,1
703,703,1,2010-09-29,75,52,64,5,48,55,1,0,546,1737, ,0.00,29.09,29.81,5.4,22,5.7,2010,9,39,2
704,704,1,2010-09-30,74,52,63,4,49,55,2,0,547,1735, ,0.00,29.23,29.93,8.3,36,9.3,2010,9,39,3
705,705,1,2010-10-01,73,48,61,3,44,52,4,0,548,1734,RA BR,0.08,29.31,30.04,4.2,29,6.2,2010,10,39,4
706,706,1,2010-10-02,57,45,51,-7,41,46,14,0,549,1732,RA,0.26,29.47,30.18,15.2,36,15.4,2010,10,39,5
707,707,1,2010-10-03,56,42,49,-8,39,44,16,0,550,1730,RA,0.08,29.64,30.36,10.3,1,11.3,2010,10,39,6
708,708,1,2010-10-04,60,38,49,-8,39,45,16,0,552,1729, ,0.00,29.65,30.38,2.4,2,3.6,2010,10,40,0
709,709,1,2010-10-05,68,39,54,-3,38,46,11,0,553,1727, ,0.00,29.59,30.33,1.3,32,3.5,2010,10,40,1
710,710,1,2010-10-06,78,46,62,6,44,53,3,0,554,1725, ,0.00,29.33,30.07,7.0,28,7.9,2010,10,40,2
711,711,1,2010-10-07,76,49,63,7,39,50,2,0,555,1724, ,0.00,29.36,30.08,5.8,30,6.2,2010,10,40,3
712,712,1,2010-10-08,79,48,64,8,40,52,1,0,556,1722, ,0.00,29.31,30.03,7.0,24,7.3,2010,10,40,4
713,713,1,2010-10-09,86,55,71,16,52,59,0,6,557,1720, ,0.00,29.25,29.98,2.5,24,3.6,2010,10,40,5
714,714,1,2010-10-10,84,57,71,16,50,59,0,6,558,1719, ,0.00,29.16,29.89,4.0,25,4.1,2010,10,40,6
715,715,1,2010-10-11,82,54,68,14,52,58,0,3,559,1717, ,0.00,29.12,29.83,2.2,3,4.0,2010,10,41,0
716,716,1,2010-10-12,76,52,64,10,54,58,1,0,600,1715, ,0.00,29.21,29.92,3.3,6,3.9,2010,10,41,1
717,717,1,2010-10-13,66,47,57,4,46,52,8,0,602,1714,TSRA RA,0.10,29.35,30.06,7.2,35,8.6,2010,10,41,2
718,718,1,2010-10-14,66,43,55,2,32,45,10,0,603,1712, ,0.00,29.21,29.96,7.2,27,9.2,2010,10,41,3
719,719,1,2010-10-15,63,44,54,1,41,47,11,0,604,1711, ,0.00,29.34,30.06,6.4,1,8.1,2010,10,41,4
720,720,1,2010-10-16,71,40,56,4,39,48,9,0,605,1709,BR,0.00,29.31,30.04,8.0,23,9.1,2010,10,41,5
721,721,1,2010-10-17,65,47,56,4,36,46,9,0,606,1707, ,0.00,29.35,30.08,3.7,1,5.4,2010,10,41,6
722,722,1,2010-10-18,61,43,52,1,40,47,13,0,607,1706, ,0.00,29.29,30.02,5.0,4,6.2,2010,10,42,0
723,723,1,2010-10-19,60,39,50,-1,35,43,15,0,608,1704, ,0.00,29.23,29.98,6.1,27,7.2,2010,10,42,1
724,724,1,2010-10-20,70,44,57,7,35,46,8,0,610,1703, , 0.00,29.03,29.76,10.2,26,12.1,2010,10,42,2
725,725,1,2010-10-21,56,38,47,-3,30,40,18,0,611,1701, ,0.00,29.25,29.96,9.4,30,10.0,2010,10,42,3
726,726,1,2010-10-22,64,33,49,-1,31,42,16,0,612,1700, ,0.02,29.34,30.07,5.8,21,6.5,2010,10,42,4
727,727,1,2010-10-23,65,54,60,11,47,53,5,0,613,1658,RA BR,0.10,29.2,29.94,10.0,21,11.4,2010,10,42,5
728,728,1,2010-10-24,72,54,63,14,53,57,2,0,614,1657,RA BR,0.05,28.98,29.74,8.4,21,9.6,2010,10,42,6
729,729,1,2010-10-25,72,56,64,16,56,60,1,0,616,1656,BR,0.00,28.74,29.5,11.6,19,12.4,2010,10,43,0
730,730,1,2010-10-26,70,54,62,14,47,53,3,0,617,1654,RA BR,0.24,28.55,29.25,24.1,21,26.3,2010,10,43,1
731,731,1,2010-10-27,65,43,54,6,32,44,11,0,618,1653, ,0.00,28.92,29.59,21.8,24,23.2,2010,10,43,2
732,732,1,2010-10-28,46,39,43,-4,31,38,22,0,619,1651, , 0.00,29.43,30.1,13.7,28,14.1,2010,10,43,3
733,733,1,2010-10-29,50,31,41,-6,27,36,24,0,620,1650, ,0.00,29.48,30.24,6.2,24,8.9,2010,10,43,4
734,734,1,2010-10-30,63,42,53,7,32,42,12,0,622,1649, ,0.00,29.14,29.88,6.5,25,13.3,2010,10,43,5
735,735,1,2010-10-31,52,36,44,-2,30,38,21,0,623,1647, ,0.00,29.49,30.2,5.8,1,6.9,2010,10,43,6
736,736,1,2011-05-01,63,47,55,2,37,47,10,0,448,1849, ,0.00,29.26,29.95,11.4,26,11.9,2011,5,17,6
737,737,1,2011-05-02,59,42,51,-3,31,42,14,0,447,1850, ,0.00,29.46,30.17,5.3,36,9.9,2011,5,18,0
738,738,1,2011-05-03,50,37,44,-10,31,38,21,0,446,1851,RA, 0.00,29.5,30.23,6.7,3,7.6,2011,5,18,1
739,739,1,2011-05-04,59,37,48,-6,29,40,17,0,444,1852, ,0.00,29.63,30.37,4.6,3,7.6,2011,5,18,2
740,740,1,2011-05-05,63,35,49,-6,40,46,16,0,443,1853,RA BR,0.06,29.33,30.12,10.9,20,11.5,2011,5,18,3
741,741,1,2011-05-06,68,44,56,1,39,48,9,0,442,1855,RA, 0.00,29.11,29.87,6.8,28,7.8,2011,5,18,4
742,742,1,2011-05-07,60,43,52,-3,44,48,13,0,441,1856, , 0.00,29.13,29.85,5.1,5,6.9,2011,5,18,5
743,743,1,2011-05-08,68,39,54,-2,43,49,11,0,439,1857, ,0.00,29.27,29.98,6.6,6,7.2,2011,5,18,6
744,744,1,2011-05-09,73,47,60,4,45,53,5,0,438,1858,RA, 0.00,29.15,29.89,14.3,11,14.7,2011,5,19,0
745,745,1,2011-05-10,90,62,76,20,61,66,0,11,437,1859, ,0.00,29.0,29.72,6.2,14,8.6,2011,5,19,1
746,746,1,2011-05-11,87,63,75,18,66,68,0,10,436,1900,TS TSRA BR HZ,0.13,29.1,29.8,3.5,14,6.6,2011,5,19,2
747,747,1,2011-05-12,86,58,72,15,63,66,0,7,435,1901,TS TSRA BR,0.29,29.08,29.79,5.6,19,8.1,2011,5,19,3
748,748,1,2011-05-13,77,47,62,4,54,56,3,0,434,1902,RA BR,0.02,29.0,29.73,10.1,3,11.0,2011,5,19,4
749,749,1,2011-05-14,53,45,49,-9,47,48,16,0,433,1903,RA BR,0.31,29.01,29.73,16.7,2,16.9,2011,5,19,5
750,750,1,2011-05-15,46,41,44,-14,36,41,21,0,432,1904,RA BR,0.31,29.15,29.86,21.4,2,21.4,2011,5,19,6
751,751,1,2011-05-16,52,37,45,-14,30,40,20,0,431,1905, ,0.00,29.28,30.01,13.5,2,13.9,2011,5,20,0
752,752,1,2011-05-17,60,40,50,-9,33,43,15,0,430,1906, ,0.00,29.21,29.96,12.2,3,12.7,2011,5,20,1
753,753,1,2011-05-18,57,49,53,-7,48,49,12,0,429,1907,RA DZ BR,0.07,29.16,29.89,6.2,2,7.1,2011,5,20,2
754,754,1,2011-05-19,72,49,61,1,53,56,4,0,428,1908,BR HZ,0.00,29.29,30.0,3.6,2,5.8,2011,5,20,3
755,755,1,2011-05-20,73,50,62,1,54,57,3,0,427,1909,BR,0.00,29.3,30.03,5.5,6,6.0,2011,5,20,4
756,756,1,2011-05-21,75,50,63,2,59,62,2,0,426,1910,BR,0.01,29.13,29.87,7.0,15,8.1,2011,5,20,5
757,757,1,2011-05-22,87,61,74,13,60,64,0,9,425,1911,TSRA RA BR,0.58,28.95,29.7,10.3,19,11.4,2011,5,20,6
758,758,1,2011-05-23,79,60,70,9,59,64,0,5,425,1912, , 0.00,28.92,29.62,10.0,25,11.3,2011,5,21,0
759,759,1,2011-05-24,66,47,57,-5,47,51,8,0,424,1913, ,0.11,29.15,29.86,12.0,4,12.4,2011,5,21,1
760,760,1,2011-05-25,67,47,57,-5,52,53,8,0,423,1914,TSRA RA BR,2.24,28.92,29.67,10.7,3,11.7,2011,5,21,2
761,761,1,2011-05-26,49,43,46,-16,40,43,19,0,422,1915,RA BR,1.06,29.15,29.84,17.7,2,17.8,2011,5,21,3
762,762,1,2011-05-27,58,40,49,-13,41,46,16,0,422,1916,RA, 0.00,29.21,29.93,7.3,5,8.7,2011,5,21,4
763,763,1,2011-05-28,62,51,57,-6,55,55,8,0,421,1916,RA BR,0.12,29.1,29.83,6.0,18,6.7,2011,5,21,5
764,764,1,2011-05-29,70,52,61,-3,59,60,4,0,421,1917,TS RA FG+ FG BR,1.88,29.16,29.86,3.6,11,5.7,2011,5,21,6
765,765,1,2011-05-30,88,56,72,8,65,69,0,7,420,1918, ,0.00,29.26,29.97,12.4,20,12.8,2011,5,22,0
766,766,1,2011-05-31,85,69,77,13,64,68,0,12,420,1919,TS,0.08,29.34,30.04,12.4,22,13.2,2011,5,22,1
767,767,1,2011-06-01,81,59,70,6,49,59,0,5,419,1920, ,0.00,29.44,30.17,10.7,27,10.5,2011,6,22,2
768,768,1,2011-06-02,69,56,63,-1,44,53,2,0,419,1920,RA,0.02,29.45,30.19,9.0,6,9.4,2011,6,22,3
769,769,1,2011-06-03,87,55,71,7,62,67,0,6,418,1921, ,0.01,29.31,30.04,10.8,17,11.5,2011,6,22,4
770,770,1,2011-06-04,92,64,78,14,64,68,0,13,418,1922,TSRA,0.18,29.31,30.02,1.4,26,8.5,2011,6,22,5
771,771,1,2011-06-05,85,60,73,8,55,62,0,8,417,1923, , 0.00,29.36,30.08,3.1,7,5.4,2011,6,22,6
772,772,1,2011-06-06,93,60,77,11,64,69,0,12,417,1923, ,0.00,29.15,29.89,8.5,20,9.7,2011,6,23,0
773,773,1,2011-06-07,96,75,86,20,65,72,0,21,417,1924, ,0.00,29.11,29.82,10.3,23,10.6,2011,6,23,1
774,774,1,2011-06-08,95,66,81,15,64,71,0,16,417,1925,TSRA,0.17,29.13,29.81,11.6,24,13.4,2011,6,23,2
775,775,1,2011-06-09,69,50,60,-6,52,55,5,0,416,1925,TSRA RA BR,0.93,29.28,30.0,8.0,4,12.5,2011,6,23,3
776,776,1,2011-06-10,69,51,60,-7,56,57,5,0,416,1926,RA BR HZ,0.52,29.21,29.94,6.4,3,8.0,2011,6,23,4
777,777,1,2011-06-11,62,52,57,-10,54,55,8,0,416,1926,RA DZ FG+ FG BR,0.03,29.24,29.95,4.7,5,5.7,2011,6,23,5
778,778,1,2011-06-12,64,50,57,-11,45,52,8,0,416,1927,BR,0.00,29.38,30.1,8.3,3,8.9,2011,6,23,6
779,779,1,2011-06-13,72,54,63,-5,43,53,2,0,416,1927, ,0.00,29.39,30.11,7.5,6,7.8,2011,6,24,0
780,780,1,2011-06-14,77,53,65,-3,49,56,0,0,416,1928, ,0.00,29.25,30.01,7.8,9,8.6,2011,6,24,1
781,781,1,2011-06-15,71,57,64,-4,59,61,1,0,416,1928,TSRA RA BR,0.80,29.0,29.73,9.2,15,11.2,2011,6,24,2
782,782,1,2011-06-16,81,61,71,2,59,63,0,6,416,1929,RA BR,0.04,29.05,29.76,5.5,29,7.5,2011,6,24,3
783,783,1,2011-06-17,82,60,71,2,60,64,0,6,416,1929, ,0.00,29.13,29.83,5.8,6,6.6,2011,6,24,4
784,784,1,2011-06-18,84,61,73,3,62,65,0,8,416,1929, ,0.00,29.1,29.82,4.6,6,6.4,2011,6,24,5
